heydoyou,Coffee or Pizza,40.72418941*-73.9981395,0
vodkaprofessor,Coffee or Pizza,40.71735293*-73.96039224,0
DfNY71,Coffee or Pizza,40.75712378*-73.54713678,0
cocolette,Coffee or Pizza,40.76038354*-73.92203496,0
sneakinhysteria,Coffee or Pizza,40.75866519*-73.97882192,0
SPCBattaglia,Coffee or Pizza,40.74648201*-73.99364589,0
meeshyamps,Coffee or Pizza,40.69203823*-73.94240855,0
Trigonis,Coffee or Pizza,40.72075399*-74.03930068,0
LimoGame,Coffee or Pizza,40.75871704*-73.97873583,0
t3knoid,Coffee or Pizza,40.76709527*-73.92229904,0
rampaige_k,Coffee or Pizza,40.73678126*-73.98684525,0
carlosarias82,Coffee or Pizza,40.873466*-73.907767,0
IndieRebel,Coffee or Pizza,40.71378*-74.009126,0
retroclutch,Coffee or Pizza,40.74569736*-73.97769973,0
ChristineAnn_,Coffee or Pizza,40.7286998*-74.00024542,0
FlyNeska,Coffee or Pizza,40.743982*-74.006678,0
inaudible,Coffee or Pizza,40.71412239*-73.9490328,0
SRUBES,Coffee or Pizza,40.72981588*-73.9867936,0
thisyogidoodles,Coffee or Pizza,41.0012037*-73.66281001,0
0hheyitsjess,Coffee or Pizza,40.794932*-74.47901,0
TeshawnEdmonds,Coffee or Pizza,40.67296847*-73.87084187,0
retroclutch,Coffee or Pizza,40.74569736*-73.97769973,0
TonyMangia,Coffee or Pizza,40.89352727*-74.12236722,0
EricLang_,Coffee or Pizza,40.98530006*-74.02563144,0
t0r14,Coffee or Pizza,40.94375084*-74.12981393,0
KateScott10,Coffee or Pizza,40.78055553*-73.94991104,0
JeffreyFuentes2,Coffee or Pizza,41.02511086*-74.29691076,0
ohwhat,Coffee or Pizza,40.70507899*-73.93364404,0
TheBomberJacket,Coffee or Pizza,40.70507899*-73.93364404,0
tloinc_forever,Coffee or Pizza,40.75153762*-73.99005908,0
dub_savvy,Coffee or Pizza,40.8156832*-73.9485038,0
roblyons,Coffee or Pizza,41.103131*-73.997216,0
MonsieurWAVY,Coffee or Pizza,40.67510514*-73.95605564,0
DilekKazak,Coffee or Pizza,40.77191312*-73.92599344,0
CastroLuisE,Coffee or Pizza,40.68396536*-73.91699433,0
AugustinVita,Coffee or Pizza,40.76183*-73.981144,0
codaa27,Coffee or Pizza,40.97855468*-74.12390828,0
JennyBK74,Coffee or Pizza,40.46345499*-74.29731759,0
illannpower,Coffee or Pizza,40.74787108*-73.9892212,0
MagicToDo930,Coffee or Pizza,40.71993778*-74.00513467,0
Polikushka,Coffee or Pizza,40.743982*-74.006678,0
SutahOnTheBeach,Coffee or Pizza,40.29442077*-74.02888298,0
Faymus,Coffee or Pizza,40.74193289*-73.90440368,0
TheIMYFather,Coffee or Pizza,40.63066402*-73.74010599,0
ANAYANG88,Coffee or Pizza,40.75361718*-73.9839585,0
bbatterson,Coffee or Pizza,40.70704187*-74.00795799,0
chauffeurrob,Coffee or Pizza,40.7286998*-74.00024542,0
ALConsultingSvc,Coffee or Pizza,40.740281*-73.986155,0
WMONEYFIRSTJ,Coffee or Pizza,40.75837501*-73.98849697,0
airwolf28,Coffee or Pizza,40.52924596*-74.54162478,0
ilabachrn,Coffee or Pizza,40.78473129*-74.14651837,0
parthsrule,Coffee or Pizza,40.74571043*-73.99087975,0
athomez,Coffee or Pizza,40.76113835*-73.96972418,0
jotheskimo,Coffee or Pizza,40.70439773*-74.01019595,0
vodkaprofessor,Coffee or Pizza,40.75361718*-73.9839585,0
timperezVA,Coffee or Pizza,40.72515292*-74.0043354,0
JasperColorado,Coffee or Pizza,40.75665172*-73.980647,0
davidwickman,Coffee or Pizza,40.75866519*-73.97882192,0
FwankyBoi,Coffee or Pizza,40.75167576*-73.99067315,0
Trigonis,Coffee or Pizza,40.72075399*-74.03930068,0
KIFN,Coffee or Pizza,40.927764*-73.842952,0
TrackKingCole,Coffee or Pizza,40.685049*-73.977555,0
EsotericIsLike,Coffee or Pizza,40.68016357*-73.94941739,0
TeshawnEdmonds,Coffee or Pizza,40.67296847*-73.87084187,0
mcgiggles114,Coffee or Pizza,40.61351472*-74.03332576,0
ceejeyeff,Coffee or Pizza,40.74129507*-73.9939443,0
joreen,Coffee or Pizza,40.69667297*-74.26921801,0
Capoeira_capu,Coffee or Pizza,40.78426652*-74.02321578,0
MakeupWhoreder,Coffee or Pizza,40.747763*-73.985306,0
Astone_112,Coffee or Pizza,40.69437712*-73.99290558,0
MilesPointsWhiz,Coffee or Pizza,40.62017079*-73.93438337,0
LWarfle,Coffee or Pizza,40.71146733*-74.01328325,0
zyneezy,Coffee or Pizza,40.73696419*-74.03089397,0
estheribrown,Coffee or Pizza,40.73652118*-73.99086253,0
JaynieMarie,Coffee or Pizza,40.72415422*-73.99770893,0
TonyMangia,Coffee or Pizza,40.89352727*-74.12236722,0
LaorenZa,Coffee or Pizza,40.73678126*-73.98684525,0
gcb728,Coffee or Pizza,40.7151523*-74.01477508,0
elena_SU2,Coffee or Pizza,40.74628633*-73.99768598,0
KMcSpedon,Coffee or Pizza,40.4572115*-74.36812594,0
DarshanGress,Coffee or Pizza,40.71779411*-73.9590168,0
golbas,Coffee or Pizza,40.96918608*-73.95520337,0
Trigonis,Coffee or Pizza,40.72075399*-74.03930068,0
DomiMazurova,Coffee or Pizza,40.720144*-73.999198,0
Katluck125,Coffee or Pizza,40.72555133*-73.99476528,0
pcwilliams,Coffee or Pizza,40.75990312*-73.96976709,0
DeeKee_G,Coffee or Pizza,40.71763832*-73.99958548,0
SeanSable,Coffee or Pizza,40.7335864*-73.98738472,0
TeshawnEdmonds,Coffee or Pizza,40.67296847*-73.87084187,0
BChoromanski,Coffee or Pizza,40.75059864*-73.99117243,0
jeitak,Coffee or Pizza,40.9197077*-74.0657808,0
octane31,Coffee or Pizza,40.743982*-74.006678,0
kingchaunc,Coffee or Pizza,40.83245873*-74.0099623,0
metschick,Coffee or Pizza,40.55028166*-74.33425184,0
melfrank,Coffee or Pizza,40.72707989*-73.98051739,0
abbyberman1,Coffee or Pizza,40.70522025*-74.01124606,0
